#Launch_Tag	Launch_JD	Launch_Date	LV_Type	Variant	Fairing	Flight_ID	Flight	Mission	FlightCode	Platform	Launch_Site	Launch_Pad	Ascent_Site	Ascent_Pad	Perigee	Apogee	Apoflag	Inc	Azimuth	Range	RangeFlag	Dest	OrbMass	OrbPay	Agency	LaunchCode	FailCode	Group	Category	LTCite	Cite	Notes
# Updated 2026 Sep  3 1631:27
2024-201 	2460619.95 	2024 Nov  5 1054	Electron	-	-	54	Changes in Latitudes,..	E-Space 4	-	-	MAHIA	LC1B	-	-	    200	    646	 	 97.9 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C M	Sat SSO OO	Wire	-	-
2024-S76  	2460638.75 	2024 Nov 24 0600	HASTE	-	-	55	HIPPO	MACH-TB-2	-	-	MARS	Pad 0C	-	-	      -	    300	?	-	   -	 4800	?	22W 34N?	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	youtube.com	-	-
2024-219 	2460639.66 	2024 Nov 25 0355:18	Electron	-	-	56	Ice AIS Baby	Kineis 5A-5E	-	-	MAHIA	LC1B	-	-	    184	    626	 	 97.9 	   -	    -	 	-	   0.000 	   0.140 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2024-S85  	2460658.54 	2024 Dec 14 0100	HASTE	-	-	57	STONEHENGE	MACH-TB-3	-	-	MARS	Pad 0C	-	-	      -	    300	?	-	   -	 4800	?	22W 34N?	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	youtube.com	-	-
2024-248 	2460666.10 	2024 Dec 21 1417	Electron	-	-	58	Owl the Way Up	Strix-2	-	-	MAHIA	LC1B	-	-	    175	    507	 	 97.5 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2025-028 	2460715.36 	2025 Feb  8 2043	Electron	-	-	59	IoT 4 U and Me	Kineis 2A-2E	-	-	MAHIA	LC1A	-	-	    181	    635	 	 97.9 	   -	    -	 	-	   0.000 	   0.140 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2025-033 	2460725.47 	2025 Feb 18 2317	Electron	-	-	60	Fasten Your Space Belts	BlackSky Gen3	-	-	MAHIA	LC1B	-	-	    175	    474	 	 59.0 	   -	    -	 	-	   0.000 	   0.138 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-050 	2460749.50 	2025 Mar 15 0000	Electron	-	-	61	The Lightning God Reigns	QPS-SAR-9	-	-	MAHIA	LC1B	-	-	    238	    572	 	 42.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-056 	2460752.56 	2025 Mar 18 0131	Electron	-	-	62	High Five	Kineis 4A-4E	-	-	MAHIA	LC1A	-	-	    184	    629	 	 97.9 	   -	    -	 	-	   0.000 	   0.140 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2025-061 	2460761.15 	2025 Mar 26 1530	Electron	-	-	63	Finding Hot Wildfires..	OTC Phase 1	-	-	MAHIA	LC1B	-	-	    182	    523	 	 97.5 	   -	    -	 	-	   0.000 	   0.100 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2025-104 	2460812.85 	2025 May 17 0817	Electron	-	-	64	The Sea God Sees	QPS-SAR-10	-	-	MAHIA	LC1A	-	-	    229	    604	 	 41.9 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-118 	2460829.50 	2025 Jun  2 2357	Electron	-	-	65	Full Stream Ahead	BlackSky Gen3-2	-	-	MAHIA	LC1B	-	-	    199	    471	 	 58.9 	   -	    -	 	-	   0.000 	   0.138 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-125 	2460838.15 	2025 Jun 11 1531	Electron	-	-	66	The Mountain God Guards	QPS-SAR-11	-	-	MAHIA	LC1A	-	-	    228	    574	 	 42.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-138 	2460853.23 	2025 Jun 26 1728	Electron	-	-	67	Get the Hawk Outta Here	Hawk 12/Kestrel 0A	-	-	MAHIA	LC1A	-	-	    251	    608	 	 97.3 	   -	    -	 	-	   0.000 	   0.105 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2025-140 	2460854.80 	2025 Jun 28 0708	Electron	-	-	68	Symphony in the Stars	Lyra 4	-	-	MAHIA	LC1B	-	-	    178	    653	 	 95.9 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2025-169 	2460892.67 	2025 Aug  5 0410	Electron	-	-	69	The Harvest Goddess..	QPS-SAR-12	-	-	MAHIA	LC1B	-	-	    222	    571	 	 42.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-185 	2460911.45 	2025 Aug 23 2242	Electron	-	-	70	Live, Laugh, Launch	E-Space	-	-	MAHIA	LC1A	-	-	    170	    658	 	 97.9 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C M	Sat LEO OO	Wire	-	-
2025-S45  	2460941.50 	2025 Sep 23 0000	HASTE	-	-	71	JENNA	MACH-TB-4?	-	-	MARS	Pad 0C	-	-	      -	    300	?	-	   -	 2000	?	55W 30N?	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	nasaspaceflight.com	-	-
2025-S51  	2460949.52 	2025 Oct  1 0028	HASTE	-	-	72	JUSTIN	MACH-TB-5?	-	-	MARS	Pad 0C	-	-	      -	    300	?	-	   -	 2000	?	-	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	nasaspaceflight.com	-	-
2025-229 	2460963.19 	2025 Oct 14 1633	Electron	-	-	73	Owl New World	Strix-5	-	-	MAHIA	LC1A	-	-	    171	    531	 	 41.8 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-252 	2460985.33 	2025 Nov  5 1951	Electron	-	-	74	The Nation God Navigates	QPS-SAR-14	-	-	MAHIA	LC1B	-	-	    251	    534	 	 41.9 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-S58  	2460998.04 	2025 Nov 18 1300	HASTE	-	-	75	VAN	Prometheus Run	HyCat	-	MARS	Pad 0C	-	-	      -	    300	?	-	   -	  800	?	64W 36N?	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	nasaspaceflight.com	-	-
2025-267 	2461000.03 	2025 Nov 20 1243	Electron	-	-	76	Follow My Speed	BlackSky Gen3-3	-	-	MAHIA	LC1A	-	-	    174	    467	 	 42.0 	   -	    -	 	-	   0.000 	   0.138 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2025-297 	2461023.63 	2025 Dec 14 0309	Electron	-	-	77	RAISE and Shine	RAISE-4	-	-	MAHIA	LC1B	-	-	    263	    547	 	 97.4 	   -	    -	 	-	   0.000 	   0.110 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2025-305 	2461027.71 	2025 Dec 18 0503:00	Electron	-	-	78	Don't Be Such a Square	DiskSat 1-4	STP-S30	-	MARS	Pad 0C	-	-	    196	    551	 	 45.0 	   -	    -	 	-	   0.000 	   0.012 	RLABU	OS  	-	C	Sat LEO OO	Wire	-	-
2025-307 	2461030.77 	2025 Dec 21 0636	Electron	-	-	79	The Wisdom God Guides	QPS-SAR-15	-	-	MAHIA	LC1B	-	-	    225	    579	 	 42.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-015 	2461062.95 	2026 Jan 22 1052	Electron	-	-	80	Cosmos Will See You Now	Open Cosmos	-	-	MAHIA	LC1A	-	-	    181	   1081	 	 89.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-019 	2461070.56 	2026 Jan 30 0121:59	Electron	-	-	81	Bridging the Swarm	NEONSAT-1A	-	-	MAHIA	LC1B?	-	-	    187	    556	 	 97.4 	   -	    -	 	-	   0.000 	   0.100 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2026-M03  	2461099.50 	2026 Feb 28 0000:00	HASTE	2	-	82	That's Not A Knife	Cassowary Vex	DART-AE 001	-	MARS	Pad 0C	-	-	      -	     60	?	-	   -	    -	 	-	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	nasaspaceflight.com	-	-
2026-043 	2461105.50 	2026 Mar  5 2353	Electron	-	-	83	Insight At Speed Is A...	BlackSky Gen3-4	-	-	MAHIA	LC1A	-	-	    188	    419	 	 42.1 	   -	    -	 	-	   0.000 	   0.138 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-056 	2461120.26 	2026 Mar 20 1810	Electron	-	-	84	Eight Days A Week	StriX-6	-	-	MAHIA	LC1B	-	-	    170	    467	 	 50.2 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-065 	2461127.88 	2026 Mar 28 0914	Electron	-	-	85	Daughter of the Stars	Celeste	-	-	MAHIA	LC1A	-	-	    207	    497	 	 97.4 	   -	    -	 	-	   0.000 	   0.138 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2026-S232  	2461152.57 	2026 Apr 22 0136	HASTE	-	-	86	BUBBLES	MACH-TB?	-	-	MARS	Pad 0C	-	-	      -	    300	?	-	   -	  800	?	60W 34N?	   0.000 	   0.000 	RLABU	SS  	-	-	Hypersonic	nasaspaceflight.com	-	-
2026-088 	2461153.63 	2026 Apr 23 0309	Electron	-	-	87	Kakushin Rising	JAXA ISTD-4	-	-	MAHIA	LC1A	-	-	    192	    553	 	 97.5 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat SSO OO	Wire	-	-
2026-112 	2461182.90 	2026 May 22 0933	Electron	-	-	88	Viva La StriX	StriX-7	-	-	MAHIA	LC1B	-	-	    188	    575	 	 44.9 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-130 	2461202.83 	2026 Jun 11 0800?	HASTE	-	-	89	CURVEBALL	MACH-TB?	-	-	MARS	Pad 0C	-	-	    189	    204	 	 40.0 	   -	    -	 	-	   0.000 	   0.000 	RLABU	OS  	-	C	Sat LEO OO	nasaspaceflight.com	-	-
2026-142 	2461210.93 	2026 Jun 19 1019	Electron	2	-	90	VICTUS HAZE Puma	VICTUS HAZE Puma	-	-	MAHIA	LC1A	-	-	    169	    395	 	 97.4 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat SSO O	Wire	-	-
2026-146 	2461218.24 	2026 Jun 26 1743	Electron	-	-	91	10 Owl of 10	StriX-8	-	-	MAHIA	LC1B	-	-	    238	    528	 	 42.1 	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-180 	2461258.89 	2026 Aug  6 0918	Electron	-	-	92	The Grain Goddess Prov.	QPS-SAR-13	-	-	MAHIA	LC1A	-	-	    235	    569	 	 42.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-191 	2461273.04 	2026 Aug 20 1304:45	Electron	-	-	93	The Lighting God Defends	QPS-SAR-18	-	-	MAHIA	LC1B	-	-	    259	    589	 	 42.0 	   -	    -	 	-	   0.000 	   0.120 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
2026-201 	2461286.00 	2026 Sep  2 1201	Electron	-	-	94	Owl Around the World	StriX-9	-	-	MAHIA	LC1B	-	-	      -	      -	 	-	   -	    -	 	-	   0.000 	   0.150 	RLABN	OS  	-	C	Sat LEO OO	Wire	-	-
